分类一	分类二	分类三	分类四	词类名	同义词
天气词类	集合词#	商品类*			内衣
天气词类	集合词#	商品类*			内裤
天气词类	集合词#	商品类*			薄裤子
天气词类	集合词#	商品类*			秋裤
天气词类	集合词#	商品类*			秋衣
天气词类	集合词#	商品类*			背心
天气词类	集合词#	商品类*			裤子
天气词类	集合词#	商品类*			棉袜
天气词类	集合词#	商品类*			打底裤
通用同义词	常用词			根目录	
通用同义词	常用词				跟目录
通用同义词	常用词				根目录
针对性同义词*	重点词*	相关名词		百度知道	
针对性同义词*	重点词*	相关名词			百度搜索
针对性同义词*	重点词*	相关名词			百度知道
针对性同义词*	重点词*	相关名词		夏令时	
针对性同义词*	重点词*	相关名词			夏时令
针对性同义词*	重点词*	相关名词			夏令时
针对性同义词*	重点词*	相关名词		ak719	
针对性同义词*	重点词*	相关名词			ak719
针对性同义词*	重点词*	相关名词		add-on	
针对性同义词*	重点词*	相关名词			add-on
针对性同义词*	重点词*	其他重点词*		省电模式	
针对性同义词*	重点词*	其他重点词*			节电模式
针对性同义词*	重点词*	其他重点词*			省点模式
针对性同义词*	重点词*	其他重点词*			省电模式
针对性同义词*	重点词*	家庭&mbb产品型号		荣耀盒子pro	
针对性同义词*	重点词*	家庭&mbb产品型号			荣耀盒子pro
针对性同义词*	重点词*	家庭&mbb产品型号			hitv-m1
针对性同义词*	重点词*	相关名词		sglet	
针对性同义词*	重点词*	相关名词			sglet
针对性同义词*	重点词*	相关名词		星标	
针对性同义词*	重点词*	相关名词			星标
第三方服务词	集合词#	快递类		dsu	
第三方服务词	集合词#	快递类			d速快递
第三方服务词	集合词#	快递类			d速
降低权重*-9				提供	
降低权重*-9					给予
降低权重*-9					给了
降低权重*-9					付清
降低权重*-9					提出
降低权重*-9					提供
降低权重*-9					归还
降低权重*-9					提拱
降低权重*-9					给出
降低权重*-9					反馈
降低权重*-9					供应
降低权重*-9					供给
降低权重*-9					收到
降低权重*-9					给我
降低权重*-9					出具
降低权重*-9					提不提供
降低权重*-9					给
降低权重*-9					供
降低权重*-9					返回
降低权重*-9					开具
代销商%n				厦门拙雅	
代销商%n					拙雅
代销商%n					bm6c
代销商%n					厦门拙雅
天气词类	集合词#	时区类*	东6区	哈萨克斯坦	
天气词类	集合词#	时区类*	东6区		阿斯塔纳
天气词类	集合词#	时区类*	东6区		哈萨克斯坦
针对性同义词*	重点词*	相关名词		chaton	
针对性同义词*	重点词*	相关名词			chon at
针对性同义词*	重点词*	相关名词			chaton
针对性同义词*	重点词*	相关名词			c h a t o n
针对性同义词*	重点词*	相关名词			chat0n
针对性同义词*	重点词*	相关名词			charon
针对性同义词*	重点词*	相关名词			chat no
针对性同义词*	重点词*	相关名词			c hat o n
针对性同义词*	重点词*	相关名词			chotan
针对性同义词*	重点词*	相关名词			chanton
针对性同义词*	重点词*	相关名词			chat on
针对性同义词*	重点词*	相关名词			chatin
针对性同义词*	重点词*	相关名词			chatno
针对性同义词*	重点词*	相关名词			choton
针对性同义词*	重点词*	相关名词			chiton
针对性同义词*	重点词*	相关名词			choaton
针对性同义词*	重点词*	相关名词			chat
针对性同义词*	重点词*	相关名词			chanoe
针对性同义词*	非重点词	其他		dts	
针对性同义词*	非重点词	其他			dts
针对性同义词*	非重点词	其他			digital theater system
针对性同义词*	重点词*	专业名词*3@		触控界面	
针对性同义词*	重点词*	专业名词*3@			touch wiz
针对性同义词*	重点词*	专业名词*3@			触控界面
针对性同义词*	重点词*	专业名词*3@			touchwiz
天气词类	时间词			日	
天气词类	时间词				太阳
天气词类	时间词				日
天气词类	时间词				日期
天气词类	时间词				天
通用同义词	常用词	名词%n		基座	
通用同义词	常用词	名词%n			基座
针对性同义词*	非重点词	其他		32g	
针对性同义词*	非重点词	其他			32g
针对性同义词*	非重点词	其他			32gb
针对性同义词*	非重点词	其他			32
针对性同义词*	重点词*	相关名词		程序	
针对性同义词*	重点词*	相关名词			程序
针对性同义词*	重点词*	相关名词		样机	
针对性同义词*	重点词*	相关名词			实物
针对性同义词*	重点词*	相关名词			样板
针对性同义词*	重点词*	相关名词			实机
针对性同义词*	重点词*	相关名词			样机
通用同义词	常用词	名词%n		航拍	
通用同义词	常用词	名词%n			航拍
针对性同义词*	非重点词	形容词		脱胶	
针对性同义词*	非重点词	形容词			脱胶
针对性同义词*	非重点词	形容词			开胶
天气词类	集合词#	时区类*	西4区	格陵兰岛西部地区	
天气词类	集合词#	时区类*	西4区		格陵兰岛西部
针对性同义词*	非重点词	名词%n		百度音乐	
针对性同义词*	非重点词	名词%n			百度音乐
针对性同义词*	非重点词	名词%n			百度　音乐
针对性同义词*	非重点词	名词%n			baidu音乐
针对性同义词*	重点词*	相关名词		mh1	
针对性同义词*	重点词*	相关名词			mh1
针对性同义词*	重点词*	相关名词		小钢炮	
针对性同义词*	重点词*	相关名词			2a小钢炮
针对性同义词*	重点词*	相关名词			小钢炮
通用同义词	常用词	其他		背贴	
通用同义词	常用词	其他			背贴
通用同义词	常用词	数量		一台	
通用同义词	常用词	数量			台
通用同义词	常用词	数量			频道
通用同义词	常用词	数量			一部
通用同义词	常用词	数量			部门
通用同义词	常用词	数量			台湾
通用同义词	常用词	数量			部
通用同义词	常用词	数量			一次
通用同义词	常用词	数量			一台
针对性同义词*	重点词*	相关名词		移动钱包	
针对性同义词*	重点词*	相关名词			移动钱包
针对性同义词*	重点词*	相关名词		dun	
针对性同义词*	重点词*	相关名词			dun
针对性同义词*	重点词*	其他重点词*		全贴合	
针对性同义词*	重点词*	其他重点词*			全贴合
针对性同义词*	重点词*	相关名词		镭雕版	
针对性同义词*	重点词*	相关名词			镭雕刻
针对性同义词*	重点词*	相关名词			镭雕版
针对性同义词*	重点词*	相关名词			镭 雕版
针对性同义词*	重点词*	相关名词			镭雕
针对性同义词*	重点词*	相关名词		发票通	
针对性同义词*	重点词*	相关名词			发票通
针对性同义词*	非重点词	名词%n		t码	
针对性同义词*	非重点词	名词%n			t码
针对性同义词*	非重点词	动词%v		手续	
针对性同义词*	非重点词	动词%v			手续
针对性同义词*	重点词*	相关名词		挂装	
针对性同义词*	重点词*	相关名词			吊装
针对性同义词*	重点词*	相关名词			挂装
第三方服务词	集合词#	快递类		dpex	
第三方服务词	集合词#	快递类			dpex
第三方服务词	集合词#	快递类			dpex快递
通用同义词	常用词	其他		书架	
通用同义词	常用词	其他			书架
针对性同义词*	重点词*	相关名词		ip67	
针对性同义词*	重点词*	相关名词			ip 67
针对性同义词*	重点词*	相关名词			ip67
针对性同义词*	非重点词	形容词		根本	
针对性同义词*	非重点词	形容词			根本
通用同义词	常用词	数量		10	
通用同义词	常用词	数量			十
通用同义词	常用词	数量			ten
通用同义词	常用词	数量			拾
通用同义词	常用词	数量			10
针对性同义词*	重点词*	相关名词		官翻版	
针对性同义词*	重点词*	相关名词			官翻版
针对性同义词*	非重点词	名词%n		mali	
针对性同义词*	非重点词	名词%n			mali
针对性同义词*	重点词*	相关名词		家庭影院	
针对性同义词*	重点词*	相关名词			ht-e453k
针对性同义词*	重点词*	相关名词			底座音箱
针对性同义词*	重点词*	相关名词			音响
针对性同义词*	重点词*	相关名词			家庭影院
针对性同义词*	重点词*	相关名词			有源音箱
针对性同义词*	重点词*	相关名词		网孔	
针对性同义词*	重点词*	相关名词			孔洞
针对性同义词*	重点词*	相关名词			网孔
天气词类	集合词#	时区类*	东2区	立陶宛	
天气词类	集合词#	时区类*	东2区		维尔纽斯
天气词类	集合词#	时区类*	东2区		立陶宛
天气词类	非重点词	其他词		是	
天气词类	非重点词	其他词			关系
天气词类	非重点词	其他词			就是
天气词类	非重点词	其他词			算是
天气词类	非重点词	其他词			属于
天气词类	非重点词	其他词			真是
天气词类	非重点词	其他词			是
针对性同义词*	重点词*	相关名词		有道词典	
针对性同义词*	重点词*	相关名词			有道词典
针对性同义词*	重点词*	相关名词			友道词典
针对性同义词*	重点词*	相关名词		mhl	
针对性同义词*	重点词*	相关名词			mhl
针对性同义词*	重点词*	相关名词			移动终端高清影音标准接口
针对性同义词*	重点词*	相关名词			hmi
针对性同义词*	重点词*	相关名词			hml
针对性同义词*	重点词*	相关名词			mhi
天气词类	其他词			我是	
天气词类	其他词				我是
天气词类	其他词				我叫
针对性同义词*	非重点词	形容词		不动	
针对性同义词*	非重点词	形容词			不动
代销商%n				左邻在线	
代销商%n					uixoo
代销商%n					vinaera
代销商%n					洛斐 usb hub
代销商%n					xoopar podium mini
代销商%n					usb hub
代销商%n					bento
代销商%n					hub
代销商%n					eve移动
代销商%n					左邻在线
代销商%n					eve
代销商%n					podium mini
代销商%n					xoopar
代销商%n					kyutec
通用同义词	常用词	动词%v		开放	
通用同义词	常用词	动词%v			开放式
通用同义词	常用词	动词%v			开放
通用同义词	常用词	动词%v			开发
通用同义词	常用词	动词%v			放开
通用同义词	常用词	动词%v			开展
针对性同义词*	重点词*	相关名词		dwg	
针对性同义词*	重点词*	相关名词			dwg
通用同义词	常用词	形容词		弹幕	
通用同义词	常用词	形容词			弹幕
天气词类	集合词#	时区类*	东1区	马耳他	
天气词类	集合词#	时区类*	东1区		马耳他
天气词类	集合词#	时区类*	东1区		瓦莱塔
针对性同义词*	重点词*	其他重点词*		单声道	
针对性同义词*	重点词*	其他重点词*			单声道
通用同义词	常用词	名词%n		南京	
通用同义词	常用词	名词%n			南京
针对性同义词*	非重点词	名词%n		背景虚化	
针对性同义词*	非重点词	名词%n			背景虚化
针对性同义词*	非重点词	名词%n			虚化背景
天气词类	集合词#	时区类*	西5区	美国东部地区	
天气词类	集合词#	时区类*	西5区		迈阿密
天气词类	集合词#	时区类*	西5区		匹兹堡
天气词类	集合词#	时区类*	西5区		蒙特利埃
天气词类	集合词#	时区类*	西5区		纽约
天气词类	集合词#	时区类*	西5区		多佛
天气词类	集合词#	时区类*	西5区		里士满
天气词类	集合词#	时区类*	西5区		克利夫兰
天气词类	集合词#	时区类*	西5区		杰克逊维尔
天气词类	集合词#	时区类*	西5区		华盛顿
天气词类	集合词#	时区类*	西5区		奥兰多
天气词类	集合词#	时区类*	西5区		夏洛特
天气词类	集合词#	时区类*	西5区		巴尔的摩
天气词类	集合词#	时区类*	西5区		辛辛那提
天气词类	集合词#	时区类*	西5区		奥尔巴尼
天气词类	集合词#	时区类*	西5区		查尔斯顿
天气词类	集合词#	时区类*	西5区		波特兰
天气词类	集合词#	时区类*	西5区		萨凡纳
天气词类	集合词#	时区类*	西5区		托莱多
天气词类	集合词#	时区类*	西5区		美国
天气词类	集合词#	时区类*	西5区		亚特兰大
天气词类	集合词#	时区类*	西5区		弗林特
天气词类	集合词#	时区类*	西5区		哥伦比亚
天气词类	集合词#	时区类*	西5区		法兰克福
天气词类	集合词#	时区类*	西5区		波士顿
天气词类	集合词#	时区类*	西5区		底特律
天气词类	集合词#	时区类*	西5区		美国东部
天气词类	集合词#	时区类*	西5区		印地安那
天气词类	集合词#	时区类*	西5区		罗利
天气词类	集合词#	时区类*	东1区	加蓬	
天气词类	集合词#	时区类*	东1区		利伯维尔
天气词类	集合词#	时区类*	东1区		加蓬
通用同义词	常用词	其他		印记	
通用同义词	常用词	其他			印
通用同义词	常用词	其他			印记
通用同义词	常用词	其他		重庆	
通用同义词	常用词	其他			重庆
针对性同义词*	重点词*	相关名词		1a	
针对性同义词*	重点词*	相关名词			1a
针对性同义词*	重点词*	重点动词*3		声明书	
针对性同义词*	重点词*	重点动词*3			声明书
天气词类	集合词#	时区类*	西6区	墨西哥东部地区	
天气词类	集合词#	时区类*	西6区		德华雷斯
天气词类	集合词#	时区类*	西6区		墨西哥
天气词类	集合词#	时区类*	西6区		韦拉克鲁斯
天气词类	集合词#	时区类*	西6区		夸察夸尔科斯
天气词类	集合词#	时区类*	西6区		蒙特雷
天气词类	集合词#	时区类*	西6区		墨西哥东部
天气词类	集合词#	时区类*	西6区		墨西哥城
天气词类	集合词#	时区类*	西6区		圣路易斯波托西
天气词类	集合词#	时区类*	西6区		尤卡坦半岛
天气词类	集合词#	时区类*	西6区		普埃布拉
天气词类	集合词#	时区类*	西6区		瓜达拉哈拉
天气词类	集合词#	时区类*	东9区	日本境内	
天气词类	集合词#	时区类*	东9区		新潟
天气词类	集合词#	时区类*	东9区		函馆
天气词类	集合词#	时区类*	东9区		鹿儿岛
天气词类	集合词#	时区类*	东9区		姬路
天气词类	集合词#	时区类*	东9区		大阪
天气词类	集合词#	时区类*	东9区		日本
天气词类	集合词#	时区类*	东9区		熊本
天气词类	集合词#	时区类*	东9区		名古屋
天气词类	集合词#	时区类*	东9区		札幌
天气词类	集合词#	时区类*	东9区		横滨
天气词类	集合词#	时区类*	东9区		神户
天气词类	集合词#	时区类*	东9区		福冈
天气词类	集合词#	时区类*	东9区		广岛
天气词类	集合词#	时区类*	东9区		东京
天气词类	集合词#	时区类*	东9区		北九州
天气词类	集合词#	时区类*	东9区		川崎
天气词类	集合词#	时区类*	东9区		京都
天气词类	集合词#	时区类*	东9区		长崎
天气词类	集合词#	时区类*	东9区		仙台
针对性同义词*	重点词*	相关名词		lomo	
针对性同义词*	重点词*	相关名词			魔幻
针对性同义词*	重点词*	相关名词			lomo
通用同义词	常用词	名词%n		红点	
通用同义词	常用词	名词%n			红点
通用同义词	常用词	名词%n			红点点
针对性同义词*	重点词*	相关名词		工程机	
针对性同义词*	重点词*	相关名词			工程机
针对性同义词*	非重点词	名词%n		零度	
针对性同义词*	非重点词	名词%n			零度
针对性同义词*	非重点词	名词%n			0度
通用同义词	常用词	名词%n		徕卡	
通用同义词	常用词	名词%n			徕卡
针对性同义词*	非重点词	其他		几层	
针对性同义词*	非重点词	其他			几层
通用同义词	常用词	其他		千元	
通用同义词	常用词	其他			千把块
通用同义词	常用词	其他			千元
通用同义词	常用词	其他			1千元
通用同义词	常用词	其他			一千块
通用同义词	常用词	其他			千块
通用同义词	常用词	其他			1千块
通用同义词	常用词	其他			一千元
针对性同义词*	重点词*	相关名词		2a	
针对性同义词*	重点词*	相关名词			2a
针对性同义词*	重点词*	其他重点词*		内存卡	
针对性同义词*	重点词*	其他重点词*			存储卡
针对性同义词*	重点词*	其他重点词*			sd卡
针对性同义词*	重点词*	其他重点词*			内存卡
针对性同义词*	重点词*	其他重点词*			内荐卡
针对性同义词*	重点词*	其他重点词*		功放	
针对性同义词*	重点词*	其他重点词*			功放
针对性同义词*	重点词*	其他重点词*			公放
针对性同义词*	重点词*	其他重点词*			功放机
针对性同义词*	重点词*	相关名词		一键换机	
针对性同义词*	重点词*	相关名词			一建换机
针对性同义词*	重点词*	相关名词			一键换机
通用同义词	常用词	名词%n		擦吊坠	
通用同义词	常用词	名词%n			擦吊坠
针对性同义词*	重点词*	相关名词		2k	
针对性同义词*	重点词*	相关名词			2k
通用同义词	常用词	名词%n		天空	
通用同义词	常用词	名词%n			墙面
通用同义词	常用词	名词%n			天空
针对性同义词*	非重点词	其他		2m	
针对性同义词*	非重点词	其他			2兆
针对性同义词*	非重点词	其他			2m
针对性同义词*	重点词*	业务动作		签到	
针对性同义词*	重点词*	业务动作			打卡
针对性同义词*	重点词*	业务动作			签到
针对性同义词*	重点词*	危机词		专利	
针对性同义词*	重点词*	危机词			专利
针对性同义词*	非重点词	形容词		重组	
针对性同义词*	非重点词	形容词			重组
天气词类	集合词#	时区类*	西4区	加拿大东海岸地区	
天气词类	集合词#	时区类*	西4区		古斯贝
天气词类	集合词#	时区类*	西4区		圣约翰
天气词类	集合词#	时区类*	西4区		拉布拉多半岛
天气词类	集合词#	时区类*	西4区		哈利法克斯
针对性同义词*	重点词*	重点动词*3		停止	
针对性同义词*	重点词*	重点动词*3			停下
针对性同义词*	重点词*	重点动词*3			停掉
针对性同义词*	重点词*	重点动词*3			停顿
针对性同义词*	重点词*	重点动词*3			中断
针对性同义词*	重点词*	重点动词*3			银行卡
针对性同义词*	重点词*	重点动词*3			停止
针对性同义词*	重点词*	重点动词*3			卡片
针对性同义词*	重点词*	重点动词*3			停靠
针对性同义词*	重点词*	重点动词*3			停一下
针对性同义词*	重点词*	重点动词*3			停滞不前
针对性同义词*	重点词*	重点动词*3			克拉
针对性同义词*	重点词*	重点动词*3			不走了
针对性同义词*	重点词*	重点动词*3			终止
针对性同义词*	重点词*	重点动词*3			暂停
针对性同义词*	重点词*	重点动词*3			静止
针对性同义词*	重点词*	重点动词*3			停
针对性同义词*	重点词*	重点动词*3			中止
天气词类	集合词#	时区类*	东1区	赤道几内亚	
天气词类	集合词#	时区类*	东1区		马拉博
天气词类	集合词#	时区类*	东1区		赤道几内亚
针对性同义词*	重点词*	相关名词		非增加版	
针对性同义词*	重点词*	相关名词			非增加版
针对性同义词*	重点词*	相关名词		3c	
针对性同义词*	重点词*	相关名词			3c
针对性同义词*	重点词*	相关名词			ccc
针对性同义词*	重点词*	相关名词			3cc
通用同义词	常用词	其他		semj522	
通用同义词	常用词	其他			semj522
通用同义词	常用词	其他			se-mj522
针对性同义词*	重点词*	相关名词		mkv	
针对性同义词*	重点词*	相关名词			mkv
天气词类	集合词#	时区类*	西5区	古巴	
天气词类	集合词#	时区类*	西5区		圣地亚哥
天气词类	集合词#	时区类*	西5区		哈瓦那
天气词类	集合词#	时区类*	西5区		古巴
通用同义词	常用词	数量		3m	
通用同义词	常用词	数量			3米
通用同义词	常用词	数量			3m
针对性同义词*	重点词*	相关名词		广电	
针对性同义词*	重点词*	相关名词			广电
天气词类	集合词#	时区类*	西3区	法属圭亚那	
天气词类	集合词#	时区类*	西3区		卡宴
天气词类	集合词#	时区类*	西3区		法属圭亚那
针对性同义词*	重点词*	笔记本电脑		matebook	
针对性同义词*	重点词*	笔记本电脑			hz-w09
针对性同义词*	重点词*	笔记本电脑			hz-w19
针对性同义词*	重点词*	笔记本电脑			matebook
针对性同义词*	重点词*	笔记本电脑			hz-w29
针对性同义词*	重点词*	笔记本电脑			matebook m7(hz-w29)
针对性同义词*	重点词*	笔记本电脑			家庭&mbb产品型号
针对性同义词*	重点词*	笔记本电脑			matebook m3(hz-w09)
针对性同义词*	重点词*	笔记本电脑			mate book
针对性同义词*	重点词*	笔记本电脑			华为matebook
针对性同义词*	重点词*	笔记本电脑			matebook m5(hz-w19)
针对性同义词*	重点词*	笔记本电脑			matebook m7
针对性同义词*	重点词*	笔记本电脑			matebook m5
针对性同义词*	重点词*	笔记本电脑			matebook m3
针对性同义词*	非重点词	形容词		光滑	
针对性同义词*	非重点词	形容词			光滑
针对性同义词*	重点词*	相关名词		qq邮箱	
针对性同义词*	重点词*	相关名词			qq邮箱
针对性同义词*	重点词*	相关名词			企鹅邮箱
针对性同义词*	重点词*	相关名词			腾讯邮箱
天气词类	集合词#	时区类*	标准0区	几内亚	
天气词类	集合词#	时区类*	标准0区		科纳克里
天气词类	集合词#	时区类*	标准0区		几内亚
针对性同义词*	重点词*	相关名词		安兔兔	
针对性同义词*	重点词*	相关名词			安兔兔
通用同义词	常用词	其他		影音	
通用同义词	常用词	其他			影音
天气词类	集合词#	时区类*	东1区	安哥拉	
天气词类	集合词#	时区类*	东1区		罗安达
天气词类	集合词#	时区类*	东1区		安哥拉
针对性同义词*	重点词*	相关名词		三模八频	
针对性同义词*	重点词*	相关名词			三模八频
天气词类	集合词#	时区类*	东2区	以色列	
天气词类	集合词#	时区类*	东2区		以色列
天气词类	集合词#	时区类*	东2区		特拉维夫
针对性同义词*	重点词*	相关名词		dropbox	
针对性同义词*	重点词*	相关名词			dropbox
针对性同义词*	重点词*	相关名词		霍尔	
针对性同义词*	重点词*	相关名词			霍尔元器件
针对性同义词*	重点词*	相关名词			霍尔
针对性同义词*	重点词*	相关名词			hall
针对性同义词*	重点词*	相关名词		收支	
针对性同义词*	重点词*	相关名词			收支
针对性同义词*	重点词*	相关名词			收入支出
针对性同义词*	重点词*	家庭&mbb产品型号		华为秘盒	
针对性同义词*	重点词*	家庭&mbb产品型号			mediaq m310 电商渠道
针对性同义词*	重点词*	家庭&mbb产品型号			蜜盒
针对性同义词*	重点词*	家庭&mbb产品型号			密盒
针对性同义词*	重点词*	家庭&mbb产品型号			mihe
针对性同义词*	重点词*	家庭&mbb产品型号			包装
针对性同义词*	重点词*	家庭&mbb产品型号			mediaqm310
针对性同义词*	重点词*	家庭&mbb产品型号			华为mediaq秘盒
针对性同义词*	重点词*	家庭&mbb产品型号			mediaq m310
针对性同义词*	重点词*	家庭&mbb产品型号			秘盒m310
针对性同义词*	重点词*	家庭&mbb产品型号			mediaq
针对性同义词*	重点词*	家庭&mbb产品型号			华为秘盒
针对性同义词*	重点词*	家庭&mbb产品型号			秘盒
针对性同义词*	重点词*	家庭&mbb产品型号			m310
针对性同义词*	重点词*	相关名词		4k	
针对性同义词*	重点词*	相关名词			4k电影
针对性同义词*	重点词*	相关名词			超高清
针对性同义词*	重点词*	相关名词			4k
针对性同义词*	重点词*	相关名词			4k视频
天气词类	集合词#	时区类*	西6区	加拿大中部地区	
天气词类	集合词#	时区类*	西6区		纳尔逊港
天气词类	集合词#	时区类*	西6区		布兰登
天气词类	集合词#	时区类*	西6区		温尼伯
天气词类	集合词#	时区类*	西6区		萨斯喀彻温省
天气词类	集合词#	时区类*	西6区		丘吉尔港
天气词类	集合词#	时区类*	西6区		加拿大中部
针对性同义词*	重点词*	相关名词		表情雷达	
针对性同义词*	重点词*	相关名词			表情雷达
针对性同义词*	重点词*	相关名词		电商	
针对性同义词*	重点词*	相关名词			电商
针对性同义词*	重点词*	危机词		维权	
针对性同义词*	重点词*	危机词			维权
通用同义词	常用词	动词%v		重开	
通用同义词	常用词	动词%v			重开
通用同义词	常用词	动词%v			报销
针对性同义词*	重点词*	相关名词		le505	
针对性同义词*	重点词*	相关名词			le505
针对性同义词*	重点词*	相关名词			le 505
针对性同义词*	重点词*	相关名词		商务真皮	
针对性同义词*	重点词*	相关名词			商务真皮
针对性同义词*	重点词*	相关名词		69	
针对性同义词*	重点词*	相关名词			69元
针对性同义词*	重点词*	相关名词			69
针对性同义词*	重点词*	相关名词		故事相册	
针对性同义词*	重点词*	相关名词			故事相册
针对性同义词*	重点词*	相关名词			故事像册
针对性同义词*	重点词*	相关名词		私密相册	
针对性同义词*	重点词*	相关名词			私密相册
针对性同义词*	重点词*	相关名词			斯密相册
针对性同义词*	重点词*	相关名词		缩略图	
针对性同义词*	重点词*	相关名词			缩略图
针对性同义词*	重点词*	相关名词		gesture	
针对性同义词*	重点词*	相关名词			gesture
针对性同义词*	重点词*	相关名词		搞机	
针对性同义词*	重点词*	相关名词			搞机
针对性同义词*	重点词*	相关名词		云相册	
针对性同义词*	重点词*	相关名词			云相册
针对性同义词*	重点词*	相关名词			云图册
通用同义词	常用词	名词%n		amoled	
通用同义词	常用词	名词%n			amoled
针对性同义词*	非重点词	其他		增强器	
针对性同义词*	非重点词	其他			增强器
针对性同义词*	重点词*	相关名词		mmt	
针对性同义词*	重点词*	相关名词			mmt
针对性同义词*	重点词*	相关名词		置顶	
针对性同义词*	重点词*	相关名词			放在顶上
针对性同义词*	重点词*	相关名词			置顶
针对性同义词*	重点词*	相关名词			顶置
活动相关词类				应勤	
活动相关词类					应勤
针对性同义词*	重点词*	相关名词		5p	
针对性同义词*	重点词*	相关名词			5p
第三方服务词	集合词#	快递类		lijisong	
第三方服务词	集合词#	快递类			立即送快递
第三方服务词	集合词#	快递类			立即送
通用同义词	常用词	数量		10cm	
通用同义词	常用词	数量			10厘米
通用同义词	常用词	数量			10cm
通用同义词	常用词	数量			十厘米
通用同义词	常用词	名词%n		镜像	
通用同义词	常用词	名词%n			镜像
针对性同义词*	重点词*	相关名词		5v	
针对性同义词*	重点词*	相关名词			5v
针对性同义词*	重点词*	相关名词			5服
天气词类	非重点词	其他词		想要	
天气词类	非重点词	其他词			想要
天气词类	集合词#	时区类*	东2区	马拉维	
天气词类	集合词#	时区类*	东2区		利隆圭
天气词类	集合词#	时区类*	东2区		马拉维
通用同义词	常用词	其他		红光	
通用同义词	常用词	其他			红色光
通用同义词	常用词	其他			红光
通用同义词	常用词	其他			红的光
针对性同义词*	重点词*	相关名词		beats	
针对性同义词*	重点词*	相关名词			beats
针对性同义词*	重点词*	相关名词		游戏机	
针对性同义词*	重点词*	相关名词			游戏机
针对性同义词*	非重点词	名词%n		表扣	
针对性同义词*	非重点词	名词%n			扣子
针对性同义词*	非重点词	名词%n			表扣
针对性同义词*	重点词*	相关名词		负值	
针对性同义词*	重点词*	相关名词			负值
针对性同义词*	重点词*	家庭&mbb产品型号		华为揽阅m2	
针对性同义词*	重点词*	家庭&mbb产品型号			揽阅m2平板
针对性同义词*	重点词*	家庭&mbb产品型号			揽阅m2
针对性同义词*	重点词*	家庭&mbb产品型号			华为揽阅m2平板
针对性同义词*	重点词*	家庭&mbb产品型号			华为揽阅m2
针对性同义词*	重点词*	重点动词*3		获取	
针对性同义词*	重点词*	重点动词*3			取消
针对性同义词*	重点词*	重点动词*3			取得
针对性同义词*	重点词*	相关名词		mp4	
针对性同义词*	重点词*	相关名词			mp4
针对性同义词*	重点词*	相关名词		mp3	
针对性同义词*	重点词*	相关名词			mp3
针对性同义词*	非重点词	其他		6g	
针对性同义词*	非重点词	其他			6g
针对性同义词*	非重点词	其他			6gb
针对性同义词*	非重点词	其他			6+
通用同义词	常用词	动词%v		购买	
通用同义词	常用词	动词%v			支付
通用同义词	常用词	动词%v			买回来
通用同义词	常用词	动词%v			开开
通用同义词	常用词	动词%v			入手
通用同义词	常用词	动词%v			选择
通用同义词	常用词	动词%v			配购
通用同义词	常用词	动词%v			买下
通用同义词	常用词	动词%v			买上
通用同义词	常用词	动词%v			挑选
通用同义词	常用词	动词%v			开通
通用同义词	常用词	动词%v			建立
通用同义词	常用词	动词%v			不想买
通用同义词	常用词	动词%v			页面
通用同义词	常用词	动词%v			买了
通用同义词	常用词	动词%v			下单
通用同义词	常用词	动词%v			买的到
通用同义词	常用词	动词%v			注册
通用同义词	常用词	动词%v			购
通用同义词	常用词	动词%v			预约
通用同义词	常用词	动词%v			上市
通用同义词	常用词	动词%v			开设
通用同义词	常用词	动词%v			订阅
通用同义词	常用词	动词%v			买个
通用同义词	常用词	动词%v			购买到
通用同义词	常用词	动词%v			够买
通用同义词	常用词	动词%v			销售
通用同义词	常用词	动词%v			消费
通用同义词	常用词	动词%v			购入
通用同义词	常用词	动词%v			买到
通用同义词	常用词	动词%v			查看
通用同义词	常用词	动词%v			配
通用同义词	常用词	动词%v			购物
通用同义词	常用词	动词%v			才买
通用同义词	常用词	动词%v			获得
通用同义词	常用词	动词%v			拍下
通用同义词	常用词	动词%v			采购
通用同义词	常用词	动词%v			选购
通用同义词	常用词	动词%v			定制
通用同义词	常用词	动词%v			下载
通用同义词	常用词	动词%v			提交
通用同义词	常用词	动词%v			订购
通用同义词	常用词	动词%v			买得到
通用同义词	常用词	动词%v			单下
通用同义词	常用词	动词%v			买进
通用同义词	常用词	动词%v			订单
通用同义词	常用词	动词%v			初步
通用同义词	常用词	动词%v			交易
通用同义词	常用词	动词%v			提示
通用同义词	常用词	动词%v			买回
通用同义词	常用词	动词%v			自带
通用同义词	常用词	动词%v			付款
通用同义词	常用词	动词%v			买
通用同义词	常用词	动词%v			购买
通用同义词	常用词	动词%v			有无
通用同义词	常用词	动词%v			买入
通用同义词	常用词	其他		安全	
通用同义词	常用词	其他			安全
通用同义词	常用词	其他			没用
针对性同义词*	重点词*	穿戴产品型号		荣耀手环zero ss版	
针对性同义词*	重点词*	穿戴产品型号			荣耀手环zero ss版
针对性同义词*	重点词*	相关名词		6p	
针对性同义词*	重点词*	相关名词			6p
针对性同义词*	非重点词	其他		五指	
针对性同义词*	非重点词	其他			五手指
针对性同义词*	非重点词	其他			五指
针对性同义词*	非重点词	其他			五只手指
天气词类	集合词#	时区类*	东6区	孟加拉国	
天气词类	集合词#	时区类*	东6区		达卡
